Y,X,id,Type,Name
8.84750100743773,80.5150388231641,196,g2,Vavuniya
6.9409328880885,79.8886947604286,1,g2,Kolonnawa
6.88684844046098,80.0063248717296,2,g2,Athururgiriya
6.84628105154261,80.0583297630416,3,g2,Oruwala
6.86103322977893,79.9506053453239,4,g,Pannipitiya
6.78849730089263,79.9122207826888,5,g2,Ratmalana
6.72332857373481,79.9939427547505,6,p,
6.72209889077053,79.935746804949,7,g2,Panadura
6.6950450788514,80.013754141917,8,p,
6.70119380448095,80.1090964426556,9,g2,Horana
6.5297408231979,80.1213621133935,10,g2,Matugama
6.51493235292139,80.2312873650695,11,p,
6.53436838028321,80.3523914558991,12,hp,
6.43255227887719,80.0365892498128,13,p,
6.27053015795231,80.0887571658625,14,g2,Ambalangoda
6.1769972243663,80.1800510189494,15,p,
6.13531879274287,80.2396714944347,16,p,
6.13717123691908,80.3291022076626,17,g2,Galle
6.14458094914263,80.4129435013138,18,p,
6.20755932148134,80.5014426446123,19,p,
6.27053015795231,80.508895204048,20,p,
6.35571386703906,80.5750366690395,21,p,
6.39089433329811,80.5051689243302,22,g2,Deniyaya
6.42236954029235,80.6542201130434,23,p,
6.48531410084342,80.6225467354419,24,p,
6.5732381651898,80.6076416165705,25,p,
6.61765705164681,80.6402465641016,26,p,
6.66207193967338,80.7315404171885,27,g2,Balangoda
6.6537444539481,80.5796945186868,28,p,
6.64911801191348,80.5554737005209,29,p,
6.68890398584022,80.5387054417906,30,g2,Wewalwatta
6.61858240268803,80.4474115887038,31,g2,Ratnapura
6.01211688541321,80.4436853089859,32,p,
6.01767547211138,80.5387054417906,33,g2,Matara
6.08993190207113,80.6122994662178,34,p,
6.16310477766268,80.6467675536078,35,p,
6.10753135785553,80.6952091899396,36,g2,Beliatta
6.26497421273182,80.6980038997279,37,p,
6.28997549924929,80.7939556024621,38,g2,Embilipitiya
6.13624501563664,80.9765433086359,39,g2,Hambantota
6.34923299174192,80.8135185709807,40,p,
6.50382571305094,80.8144501409102,41,p,
6.61210490896381,80.8293552597815,42,hp,
6.80546739967144,80.6579463927612,43,p,
6.82211701532315,80.5945996375581,44,p,
6.88686000092144,80.5005110746829,45,hp,
6.79899239298849,80.5405685816496,46,hp,
6.97933462087576,80.4679061271518,47,g2,Polpitiya
6.95621767070284,80.4138750712433,48,g2,Maliboda
6.9238520277448,80.3430757566045,49,g2,Broad lands
6.92570155301923,80.2797290014013,50,g2,Seetawaka
6.92847582732082,80.2154506762687,51,g2,Kosgama
6.90535637620754,80.0813046064268,52,p,
7.03203698848966,79.8949906205352,54,tp,
6.89980753952893,79.9248008582778,55,p,
6.86558827707341,79.9080325995476,56,g2,Sri Jayawardanapura
6.2414714854226,80.7856533969938,57,tp,
6.86776081845587,80.1782712102291,58,g,Padukka
7.0382380939941,80.4421682982717,59,g,Polpitiya new
6.88023685762329,80.3688635515932,60,p2,
7.00306248521714,79.9981509755334,61,g,Biyagama
6.96340203972969,79.9541681275263,62,tp,
6.99458518855797,79.8620135888448,63,g,Fort
6.95716516070131,80.5406061009542,64,hp,
6.96548098096707,80.6034387409644,65,hp,
6.89271256871284,80.6369494823031,66,p,
6.90518795114166,80.7437649703203,67,p,
6.94053307811451,80.8107864529978,68,g2,Nuwara Eliya
6.90310874358525,80.9155075196814,69,p,
6.95300719527916,81.0223230076986,70,p,
7.00705786511765,81.0872500690424,71,g2,Badulla
6.97171774932524,81.2966922024096,72,p,
6.97171774932524,81.3427694717503,73,p,
6.87399887901288,81.3532415784187,74,g2,Monaragala
6.96755991298059,81.4830957011063,75,p,
7.00393972726748,79.911232490186,76,g2,Kelaniya
7.07876925576813,79.9520737061926,77,p,
7.1144976580731,79.8600271251884,78,tp,Kerawalapitiya
7.17159639058772,79.9894819778144,79,p2,
7.18891281371877,79.9489320741921,80,g,Kotugoda
7.10578805195404,80.1887433168974,81,p,
7.10267057956002,80.2515759569076,82,p,
7.10059225287802,80.2756618022448,83,p,
7.00913661208777,80.427507348936,84,p,
7.01329407818391,80.4505459836064,85,p,
7.15878183732311,80.522803519618,86,p,
7.1691720546145,80.5615503142909,87,p,
7.10267057956002,80.3531553915906,88,p2,
7.1328052585746,80.6076275836317,89,hp,
7.0714946936618,80.6453271676378,90,hp,
7.28137121734186,79.9237990181881,91,p,
7.31461003831078,79.892382698183,92,p,
7.29279734075765,79.9133269115197,93,p,
7.27721619110175,79.8829578021815,94,g2,Katunayake
7.36861783443451,79.8724856955131,95,g2,Bolawatta
7.47765190698052,79.8976187515172,96,p,
7.46519224200049,79.9573097595268,97,g2,Pannala
7.57316413808534,79.8976187515172,98,p,
7.24293566019491,80.0414353226397,99,g,Veyangoda
7.40288859862185,79.9154213328534,100,p2,
7.13903977220239,80.2547175889081,101,p,
7.26163449989398,80.2390094289056,102,p,
7.33226715514229,80.2128291622347,103,g2,Thulhiriya
7.32188070058812,80.2840394875795,104,p,
7.28760368444808,80.3196446502519,105,g2,Kegalle
7.23462495559951,80.5636447356246,106,p,
7.29175861431826,80.5961082662965,107,p,
7.30422317232935,80.6421855356373,108,g2,Kiribathkumbura
7.32707395815288,80.6013443196307,109,p,
7.39146530611246,80.4997648849477,110,p,
7.50257016861186,80.4034215035988,111,g2,Kurunegala
7.36446362187548,80.6097220049654,112,p,
7.44857880271331,80.6097220049654,113,p,
7.46934550317105,80.6893100156449,114,hp,
7.43196473308782,80.7113014396485,115,p,
7.39146530611246,80.7301512316515,116,g2,Pallekele
7.43196473308782,80.7657563943239,117,p,
7.33434441696756,80.8170697169988,118,g2,Ragala
