Y,X,id,Type,Name
7.60392741418561,80.6407575210916,137,p,
7.66997606112462,80.6712218313995,138,p2,
7.66242816200615,80.6198133077549,139,p,
7.73601444781488,80.6693178120053,140,p,
7.71337387644434,80.7968871114198,141,g2,Naula
8.07736023664282,80.6388535016974,142,g,New Habarana
7.81336053564595,80.6578936956398,143,p,
8.05850877575472,80.7112062386787,144,g2,Habarana
8.03965643599747,80.8768559259782,145,p,
8.005720016069,80.9073202362861,146,p,
7.9774375042964,80.9930011090272,147,g2,Polonnaruwa
8.03022993716795,81.3661889102996,148,p,
7.97932306607453,81.408077336973,149,p,
7.94161017929052,81.5051823260795,150,g2,Valachchanai
8.28278360392956,80.5112842022829,151,g,New Anuradhapura
8.23002443110153,80.4636837174267,152,p,
7.5831671626795,79.8277412397483,153,g2,Madampe
7.59071646115144,79.9248462288549,154,g,New Chilaw
7.73035441885799,79.8658216276333,155,p,
7.77185953041887,79.9000939767297,156,p2,
7.85297128131727,79.9058060349124,157,p,
7.86428794383138,79.7953729100461,158,p2,
7.96235269694404,79.7706206579209,159,tp,
8.14898773747852,79.8239332009598,160,p2,
8.01703247099777,79.8620135888448,161,g2,Puttalam
7.984979699173,79.9819668106823,162,p,
7.9284098492908,80.0885918967601,163,p,
7.95858140819956,80.1780808082897,164,p,
7.95292440996812,80.2275853125401,165,g2,Maho
8.23002443110153,80.1628486531357,166,p,
8.27713117312728,80.4503555816669,167,p,
8.33553570010645,80.4313153877245,168,g2,Anuradhapura
8.27147866114175,80.0638396446349,169,p2,
8.3468387958261,80.6502776180628,170,p,
8.33741957211009,80.9625367987193,171,p,
8.35814156415749,81.0520257102489,172,p,
8.52199464884918,81.1243784472302,173,p,
8.57659680079665,81.1243784472302,174,p,
8.54647244351628,81.1491306993554,176,g2,Kapathurai
8.40334935499404,80.4884359695519,177,p2,
8.40334935499404,80.5074761634944,178,p,
8.60107108146671,81.1757869708749,179,g2,Trincomalee
8.7253006219067,80.4846279307634,180,p2,
8.72153669509268,80.5093801828886,181,p,
8.77987328530954,80.551268609562,182,p,
8.78175495829998,80.5284203768311,183,p2,
8.82879367316315,80.4979560665231,184,p2,
8.87394519350435,80.4065631355993,185,p2,
8.92661494006098,80.0752637610004,186,p2,
8.92285306713462,79.9248462288549,187,g3,Mannar
9.07329754699118,80.5227083186483,188,p,
9.07517770578484,79.7915648712576,189,g3,Nadukuda
9.39465975065383,80.4256033295418,190,g2,Kilinochchi
9.54302523942142,80.4122751937821,191,p,
9.71384713238018,80.2294893319344,192,p,
9.7326134784248,80.0714557222119,193,g2,Chunnakkam
0,0,,,
6.9511601240606,80.4745334574884,194,hp,
7.01988826025947,80.5225796345177,195,g2,Nawalapitiya
8.23657861980726,80.3563156190442,197,p,
7.00056913997285,79.9537467188385,198,g2,Sapugaskanda
7.07753238963636,79.9773066046944,200,g2,Aniyakanda
7.10949428195235,79.8773006952493,201,g3,Kerawalapitiya
